,date,hour,temperature,speed,direction
163,2022-11-08,8,18,15,1
164,2022-11-08,6,18,16,1
165,2022-11-08,4,18,20,1
166,2022-11-08,2,18,17,1
167,2022-11-08,0,15,10,2
168,2022-11-07,22,16,11,2
169,2022-11-07,20,16,9,3
170,2022-11-07,18,17,7,3
171,2022-11-07,16,19,7,2
172,2022-11-07,14,19,5,2
173,2022-11-07,12,17,7,3
174,2022-11-07,10,14,8,3
175,2022-11-07,8,13,7,2
176,2022-11-07,6,14,7,2
177,2022-11-07,4,14,9,2
178,2022-11-07,2,16,9,1
179,2022-11-07,0,16,8,0
180,2022-11-06,22,16,10,0
181,2022-11-06,20,16,11,0
182,2022-11-06,18,16,13,0
183,2022-11-06,16,17,15,0
184,2022-11-06,14,17,16,0
185,2022-11-06,12,17,14,0
186,2022-11-06,10,17,13,0
187,2022-11-06,8,13,9,1
188,2022-11-06,6,11,9,2
189,2022-11-06,4,11,10,3
190,2022-11-06,2,12,9,3
191,2022-11-06,0,13,6,3
192,2022-11-05,22,14,6,2
193,2022-11-05,20,14,2,2
194,2022-11-05,18,14,3,0
195,2022-11-05,16,15,4,1
196,2022-11-05,14,16,6,0
197,2022-11-05,12,16,6,0
198,2022-11-05,10,15,4,0
199,2022-11-05,8,14,4,0
200,2022-11-05,6,13,4,1
201,2022-11-05,4,14,6,1
202,2022-11-05,2,14,9,1
203,2022-11-05,0,15,11,1
204,2022-11-04,22,14,10,1
205,2022-11-04,20,15,13,1
206,2022-11-04,18,16,17,1
207,2022-11-04,16,15,19,1
208,2022-11-04,14,16,22,1
209,2022-11-04,12,15,26,1
210,2022-11-04,10,15,28,0
211,2022-11-04,8,14,25,0
212,2022-11-04,6,12,26,0
213,2022-11-04,4,15,28,0
214,2022-11-04,2,15,24,0
215,2022-11-04,0,15,22,0
216,2022-11-03,22,15,20,0
217,2022-11-03,20,16,21,0
218,2022-11-03,18,16,22,0
219,2022-11-03,16,16,22,0
220,2022-11-03,14,17,28,0
221,2022-11-03,12,19,18,0
